Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Nate Park,2376,555.0,Herb Sessions,2245,758.0,FO,203.0,B7,0,2,1,2,-13.65%,13.65%,0,0,0,61,7,4,GEO,OSU,FO,FO,FO,1
Owen Doar,2351,735.0,Herb Sessions,2245,199.0,LGO,464.0,B7,1,2,1,2,-12.24%,12.24%,0,0,0,61,7,4,GEO,OSU,LGO,LGO,LGO,1
Wazz Up,2328,907.0,Herb Sessions,2245,512.0,PO,395.0,B7,2,2,1,2,-17.69%,17.69%,0,0,0,61,7,4,GEO,OSU,PO,PO,PO,1
Kyl Saltzer,2384,732.0,Mark Spoon,2377,33.0,K,301.0,T1,0,0,0,0,-2.51%,2.51%,0,0,0,62,8,4,GT,NEB,K,K,K,1
Hornet Hives,1946,550.0,Mark Spoon,2377,15.0,LGO,465.0,T1,1,0,0,0,-2.18%,2.18%,0,0,0,62,8,4,GT,NEB,LGO,LGO,LGO,1
Lou Bronco,2381,794.0,Mark Spoon,2377,743.0,3B,51.0,T1,2,0,0,0,3.16%,-3.16%,0,0,0,62,8,4,GT,NEB,3B,3B,2B,1
Theo Rodder,2353,804.0,Mark Spoon,2377,346.0,LGO,458.0,T1,2,3,0,0,-4.92%,4.92%,0,0,0,62,8,4,GT,NEB,LGO,LGO,LGO,1
Chromosomatic Turbine,2391,277.0,Bryant Gronkiewicz,2395,326.0,1B,49.0,B1,0,0,0,0,2.76%,-2.76%,0,0,0,63,8,4,NEB,GT,1B,1B,2B,1
Adam  Page,2386,655.0,Bryant Gronkiewicz,2395,550.0,BB,105.0,B1,0,1,0,0,5.20%,-5.20%,0,0,0,63,8,4,NEB,GT,BB,BB,1B,1
Cybeast Falzar,2344,87.0,Bryant Gronkiewicz,2395,437.0,PO,350.0,B1,0,4,0,0,-4.27%,4.27%,0,0,0,63,8,4,NEB,GT,PO,PO,K,1
Richard Avery,2291,641.0,Bryant Gronkiewicz,2395,72.0,DP,431.0,B1,1,4,0,0,-10.13%,10.13%,0,0,0,63,8,4,NEB,GT,RGO,DP,DP,1
